"Load Desk","Station Acronym (Name)"
"1A",
,"BVY"
,"CLB"
,"CHF"
,"FHS"
,"IPR"
,"MWN"
,"KDS"
,"MFE"
,"PVW"
,"PCA"
,"PGG"
,"UFR"
"1B",
,"AYH"
,"BAB"
,"BRN"
,"CWD"
,"DAW"
,"DIL"
,"FBC"
,"FJN"
,"FM2"
,"FSR"
,"FOX"
,"GRR"
,"HUS"
,"HZN"
,"KAL"
,"MEZ"
,"MIN"
,"OFD"
,"PCN"
,"PED"
,"PPS"
,"SRS"
,"STW"
,"TER"
,"TLR"
,"TXB"
,"VDF"
"2A",
,"AFT"
,"BR1"
,"BR2"
,"BRT"
,"CLN"
,"CRQ"
,"GVL"
,"HMH"
,"LAJ"
,"MCB"
,"MGT"
,"MLS"
,"PAV"
,"QNL"
,"RBF"
,"SBR"
,"SMH"
,"SON"
,"TXL"
,"WLM"
"2B",
,"MRT"
,"HLD"
,"SVA"
,"DUG"
,"BKL"
,"HFY"
,"BAR"
,"CLW"
,"VBY"
,"AVO"
,"BLU"
,"VLM"
,"CHS"
,"STO"
,"SAM"
,"SCM"
"3A",
,"ARM"
,"DUC"
,"END"
,"GST"
,"ILL"
,"KAS"
,"LU2"
,"MCA"
,"MCK"
,"MON"
,"MTE"
,"NAK"
,"NDR"
,"REV"
,"SHU"
,"VNT"
,"WBK"
,"WDS"
,"WWD"
"3B",
,"ABN"
,"ATH"
,"CMO"
,"CNL"
,"CRO"
,"EFD"
,"ELK"
,"FMT"
,"FNE"
,"FST"
,"GDN"
,"INV"
,"JOE"
,"KGG"
,"MVL"
,"MYE"
,"NGT"
,"PSN"
,"RDM"
,"SEL"
,"SEV"
,"SKU"
,"SPD"
,"SPL"
,"SPN"
,"WAR"
,"WIN"
,"WSP"
"4A",
,"CLD"
,"ESQ"
,"GOW"
,"GTP"
,"HSY"
,"JOR"
,"KTG"
,"SNY"
,"SOO"
"4B",
,"GLS"
,"KSH"
,"LCW"
,"PIK"
,"PVO"
,"SAL"
,"SAT"
,"SHA"
"5A",
,"CBL"
,"CMX"
,"GLD"
,"JHT"
,"JUL"
,"KGH"
,"LDR"
,"OYR"
,"PHY"
,"PML"
,"PUN"
,"TSV"
,"WOS"
"5B",
,"HWD"
,"JPT"
,"LBH"
,"LDY"
,"LTZ"
,"NFD"
,"PAL"
,"PVL"
,"QLC"
"6A",
,"BTA"
,"CAP"
,"CKY"
,"DCV"
,"FRC"
,"GLR"
,"HCT"
,"HSB"
,"JLN"
,"LBY"
,"LYN"
,"NOR"
,"NVR"
,"PTO"
,"SQH"
"6B",
,"COM"
,"CRK"
,"FVW"
,"GIB"
,"GPT"
,"PHR"
,"SEC"
,"CMS"
,"FCN"
,"PEM"
,"RBW"
,"SAC"
,"UHT"
"7A",
,"CSQ"
,"DGR"
,"MUR"
"7B",
,"GDK"
,"HPN"
,"KI1"
,"SPG"
,"CSN"
"8A",
,"HNY"
,"LB1"
,"MRG"
,"MIS"
,"COK"
,"CQM"
,"RUS"
"8B",
,"BND"
,"LOH"
,"MAN"
,"NEL"
,"NWR"
,"RO2"
"9A",
,"ARN"
,"HRD"
,"PKL"
,"SCT"
,"SYH"
,"TSW"
,"WHY"
"9B",
,"BAL"
,"CDL"
,"MLN"
,"NKL"
,"SRY"
,"WRK"
"10A",
,"ALZ"
,"AMC"
,"BBR"
,"CBN"
,"CHK"
,"CHP"
,"GLT"
,"HOP"
,"KEN"
,"MLE"
,"ROS"
,"SMW"
,"SZM"
,"WAH"
"10B",
,"ANN"
,"CAM"
,"DND"
,"RIM"
,"SEA"
,"STV"
